SQUARE,PLOT,ANO,PH,LOI,C_CONC_LOI,C_STOCK_LOI,BULK_DENSITY,MOISTURE,N_PERCENT,N_STOCK,PO4_OLSEN,LC07,LC07_NUM,COUNTRY,COUNTY07,EZ_DESC_07,STATE_PH,STATE_NUMBER
DEJBBK,PEWAAMPVWT,2007,8.45,9.228206,50.755133,54.068099,0.710182344,33.21256667,0.49,5.21984023,,1e,1,ENG,South Gloucestershire Unitary Authority,Westerly lowlands (England),Moderadamente Alcalino,7
DEJBBK,TYHWFHGKHE,2007,6.34,9.051412,49.782766,80.16148349,1.073483723,31.66106613,0.45,7.246015131,6,1e,1,ENG,South Gloucestershire Unitary Authority,Westerly lowlands (England),Levemenete Ácido,4
DEJBBK,UZRSMIJFHV,2007,6.92,17.88187,98.350285,72.46786835,0.4912229,57.33065646,0.88,6.484142282,15,1e,1,ENG,South Gloucestershire Unitary Authority,Westerly lowlands (England),Neutro,5
DEOWTI,CLWNNTVLOD,2007,5.13,13.73654,75.55097,93.44577302,0.824571571,43.42514075,,,,23e,23,ENG,North Yorkshire,Uplands (England),Moderadamente Ácido,3
DEOWTI,DGYHKLLNHC,2007,3.47,87.78476,482.81618,91.51628925,0.126364571,87.46526987,,,,23e,23,ENG,North Yorkshire,Uplands (England),Extremadamente Ácido,1
DEOWTI,PZSMLVTQAK,2007,6.48,12.81226,70.46743,78.35565363,0.741294275,47.47234439,,,,23e,23,ENG,North Yorkshire,Uplands (England),Levemenete Ácido,4
DEOWTI,RQWWKMMWSF,2007,7.02,16.90712,92.98916,89.44105679,0.64122927,46.71983792,,,,23e,23,ENG,North Yorkshire,Uplands (England),Neutro,5
DEOWTI,ZAUIJUDNKX,2007,5.07,21.90341379,120.4687758,96.10170385,0.531820815,56.28907505,,,,23e,23,ENG,North Yorkshire,Uplands (England),Moderadamente Ácido,3
DETEQU,IWCIBMYNSV,2007,4.24,15.1824,83.5032,87.35038632,0.697381548,49.38997306,,,,17w2,18,WAL,Powys,Uplands (Wales),Fuertemenete Ácido,2
DETEQU,JDIFXKOGPP,2007,4.38,44.98569,247.421295,113.7916182,0.30660691,71.93997103,,,,17w2,18,WAL,Powys,Uplands (Wales),Fuertemenete Ácido,2
DETEQU,KMJQSGSMHT,2007,4.43,19.522,107.371,76.27477132,0.473590146,61.67547547,,,,17w2,18,WAL,Powys,Uplands (Wales),Fuertemenete Ácido,2
DETEQU,QYHYWODCWA,2007,5.05,12.40577,68.231735,72.66198321,0.709952959,46.50011705,,,,17w2,18,WAL,Powys,Uplands (Wales),Moderadamente Ácido,3
DETEQU,YZSBJDJSEG,2007,5.09,83.83662,461.10141,39.8496843,0.057615214,91.22774887,,,,17w2,18,WAL,Powys,Uplands (Wales),Moderadamente Ácido,3
DEYVMW,GFVMQJZWJY,2007,7.77,3.589359,19.7414745,42.89414463,1.448528904,19.34859666,,,,13e,13,ENG,Redcar and Cleveland Unitary Authority,Westerly lowlands (England),Levemenete Alcalino,6
DEYVMW,NGVTZSKOWT,2007,7.39,3.725825,20.4920375,42.87154445,1.394738304,18.20690618,,,,13e,13,ENG,Redcar and Cleveland Unitary Authority,Westerly lowlands (England),Neutro,5
DEYVMW,TMKSPQIMYR,2007,7.48,4.354047,23.9472585,56.36666321,1.569189036,19.26077359,,,,13e,13,ENG,Redcar and Cleveland Unitary Authority,Westerly lowlands (England),Neutro,5
DEYVMW,WJAILAKEFL,2007,7.52,4.487724,24.682482,50.2109779,1.356183923,23.19935635,,,,13e,13,ENG,Redcar and Cleveland Unitary Authority,Westerly lowlands (England),Levemenete Alcalino,6
DEYVMW,YTPQZXPBNR,2007,7.71,6.390569,35.1481295,,,,,,,13e,13,ENG,Redcar and Cleveland Unitary Authority,Westerly lowlands (England),Levemenete Alcalino,6
DJNWLT,CQSNOVMMWW,2007,3.95,20.68154,113.74847,68.90336145,0.403834656,50.17424838,,,,17w3,19,WAL,Mid Glamorgan,Uplands (Wales),Extremadamente Ácido,1
DJNWLT,GEAABGSONL,2007,6.91,13.64874,75.06807,76.61304344,0.680387311,48.25221727,,,,17w3,19,WAL,Mid Glamorgan,Uplands (Wales),Neutro,5
DJNWLT,MSBKBMBTCW,2007,6.56,17.6938,97.3159,57.60922167,0.394654396,38.38157935,,,,17w3,19,WAL,Mid Glamorgan,Uplands (Wales),Neutro,5
DJNWLT,QRMRIYGXVI,2007,3.71,12.0991,66.54505,70.66633326,0.707954819,45.70484281,,,,17w3,19,WAL,Mid Glamorgan,Uplands (Wales),Extremadamente Ácido,1
DJNWLT,WLZFBPCCEY,2007,5.45,10.98834,60.43587,75.75394592,0.835640003,38.30892602,,,,17w3,19,WAL,Mid Glamorgan,Uplands (Wales),Moderadamente Ácido,3
DJYEXM,GBENXKBXWH,2007,4.04,91.80457,504.925135,86.02618348,0.113582757,88.61379523,,,,18s,27,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),Fuertemenete Ácido,2
DJYEXM,ODFDHWRIBQ,2007,5.1,18.59856,102.29208,74.38980532,0.484819583,56.08951194,,,,18s,27,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),Moderadamente Ácido,3
DJYEXM,RXHFXAWEYU,2007,4.15,84.95577,467.256735,46.25303151,0.065992316,92.31977287,,,,18s,27,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),Fuertemenete Ácido,2
DJYEXM,TSAMKOHFPD,2007,4.3,51.02969,280.663295,116.1840673,0.275974971,73.92858157,,,,18s,27,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),Fuertemenete Ácido,2
DJYEXM,WQEHCIWBGW,2007,4.24,90.64873,498.568015,76.51567443,0.102313923,89.63288342,,,,18s,27,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),Fuertemenete Ácido,2
DKFVKM,CTSLNOJWYJ,2007,7.99,3.132009,17.2260495,40.54838682,1.569266237,16.61040404,0.15,3.530849034,93.2,8e,8,ENG,Medway Unitary Authority,Westerly lowlands (England),Levemenete Alcalino,6
DKFVKM,KHSLPUBEKG,2007,8.1,3.129598,17.212789,37.48208574,1.451714603,19.10040851,0.15,3.266357858,80.9,8e,8,ENG,Medway Unitary Authority,Westerly lowlands (England),Moderadamente Alcalino,7
DKFVKM,NSFWBSDROT,2007,7.39,2.998317,16.4907435,36.2356957,1.464890316,16.64739822,0.15,3.296003212,95.9,8e,8,ENG,Medway Unitary Authority,Westerly lowlands (England),Neutro,5
DKFVKM,WRUAMDLXVR,2007,7.64,3.283875,18.0613125,35.47945773,1.309593188,18.55353889,0.15,2.946584673,126,8e,8,ENG,Medway Unitary Authority,Westerly lowlands (England),Levemenete Alcalino,6
DKPKMO,CPICXGAGEA,2007,5.6,3.13237,17.228035,38.72794674,1.49864051,16.72730272,0.16,3.596737224,11.7,3e,3,ENG,Kent,Easterly lowlands (England),Moderadamente Ácido,3
DKPKMO,CPPGNJWWMC,2007,6.02,6.23249,34.278695,59.17736341,1.150906579,20.41366612,0.31,5.351715594,4.41,3e,3,ENG,Kent,Easterly lowlands (England),Levemenete Ácido,4
BQBGBD,ENVJMTAQIJ,2007,5.79,3.699501,20.3472555,32.44898978,1.063173353,20.34497047,0.18,2.870568053,34,3e,3,ENG,West Sussex,Easterly lowlands (England),Moderadamente Ácido,3
BQBGBD,NQVLKIQIQG,2007,5.96,2.811515,15.4633325,28.01801587,1.207933493,20.45884949,0.12,2.174280288,42,3e,3,ENG,West Sussex,Easterly lowlands (England),Moderadamente Ácido,3
BQBGBD,XLKKOMQYWL,2007,6.53,3.524045,19.3822475,42.46328084,1.460555794,19.35218523,0.17,3.724417276,23,3e,3,ENG,West Sussex,Easterly lowlands (England),Neutro,5
BQZPSZ,BQUPBSFKCL,2007,4.85,21.15051585,116.3278372,71.57242577,0.410176546,59.86548045,,,,17w1,17,WAL,Gwynedd,Uplands (Wales),Fuertemenete Ácido,2
BQZPSZ,NTGWNSUSIE,2007,4.68,36.12099454,198.66547,82.57945061,0.27711392,68.63826001,,,,17w1,17,WAL,Gwynedd,Uplands (Wales),Fuertemenete Ácido,2
BQZPSZ,QOMMRMQQHW,2007,4.72,63.7695078,350.7322929,107.7897604,0.204885155,81.22595438,,,,17w1,17,WAL,Gwynedd,Uplands (Wales),Fuertemenete Ácido,2
BQZPSZ,SKTKDQQENL,2007,3.93,,,,,,,,,17w1,17,WAL,Gwynedd,Uplands (Wales),Extremadamente Ácido,1
BQZPSZ,SMTAHFFWNV,2007,4.99,50.29785881,276.6382234,82.78692431,0.199507075,77.42166378,,,,17w1,17,WAL,Gwynedd,Uplands (Wales),Fuertemenete Ácido,2
BRBWRZ,ENTOLQJLKB,2007,5.69,12.84971,70.673405,90.84435371,0.856940492,37.06520534,,,,19e,21,ENG,North Yorkshire,Uplands (England),Moderadamente Ácido,3
BRBWRZ,JCRCPXDQYR,2007,6.75,13.391,73.6505,100.2199728,0.907167164,24.75440887,,,,19e,21,ENG,North Yorkshire,Uplands (England),Neutro,5
BRBWRZ,OODZXGUVYZ,2007,4.93,7.123037,39.1767035,66.05604909,1.124070229,23.96993176,,,,19e,21,ENG,North Yorkshire,Uplands (England),Fuertemenete Ácido,2
BRBWRZ,YMLMUYQCOY,2007,5.71,7.749781,42.6237955,73.87603327,1.155474032,20.76790551,,,,19e,21,ENG,North Yorkshire,Uplands (England),Moderadamente Ácido,3
BRBWRZ,ZOFUESNTJP,2007,5.57,7.527926,41.403593,64.14456076,1.032834047,25.53911318,,,,19e,21,ENG,North Yorkshire,Uplands (England),Moderadamente Ácido,3
BRKIBT,GGXABUENFH,2007,4.02,92.49072,508.69896,60.62954923,0.079457012,91.60905144,,,,28s,36,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),Fuertemenete Ácido,2
BRKIBT,GMBGPBXHTY,2007,5.22,11.54474,63.49607,68.01075415,0.714067859,47.92536077,,,,28s,36,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),Moderadamente Ácido,3
BRKIBT,JPGDBKOMVV,2007,4.53,14.78109,81.295995,85.55939781,0.701628642,44.36390471,,,,28s,36,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),Fuertemenete Ácido,2
